Tabla;Campo;Var Type;Utilizado;Campo en Json;Mapeo api endpoint;Cobertura;Column 8;Observaciones;;;;;;;;;;;;;;;;;
wms_orders;status_vtex;varchar(256);SI;N/A;https://oms.janis.in/api/order;Nula;wms_orders status_vtex;;;;;;;;;;;;;;;;;;
wms_orders;status;smallint;SI;status;https://oms.janis.in/api/order;Completa;wms_orders status;Mapeo de valores de estado necesario;;;;;;;;;;;;;;;;;
wms_orders;user_created;bigint;SI;userCreated;https://oms.janis.in/api/order;Completa;wms_orders user_created;;;;;;;;;;;;;;;;;;
wms_orders;user_modified;bigint;SI;userModified;https://oms.janis.in/api/order;Completa;wms_orders user_modified;;;;;;;;;;;;;;;;;;
wms_orders;date_created;bigint;SI;dateCreated;https://oms.janis.in/api/order;Completa;wms_orders date_created;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_orders;date_picked;bigint;SI;N/A;https://oms.janis.in/api/order;Parcial;wms_orders date_picked;steps.picking.dateEnd;;;;;;;;;;;;;;;;;
admins;id;bigint unsigned;SI;id (alfanumerico);https://id.janis.in/api/user/{id};Parcial;Campo existe pero valores diferentes: BD usa ID numérico autoincremental, API v2 usa ID alfanumérico. Cambio conocido V1→V2. No crítico - usar email o employeeId como identificador.;El id es alfanumerico en la API y bigint en la DB;;;;;;;;;;;;;;;;;
admins;employee_id;varchar(50);SI;employeeId;https://id.janis.in/api/user/{id};Completa;Presente en lista y detalle de usuario;;;;;;;;;;;;;;;;;;
admins;firstname;varchar(255);SI;firstname;https://id.janis.in/api/user;Completa;Case-insensitive match. También disponible en /user/{id};;;;;;;;;;;;;;;;;;
admins;lastname;varchar(255);SI;lastname;https://id.janis.in/api/user;Completa;Case-insensitive match. También disponible en /user/{id};;;;;;;;;;;;;;;;;;
admins;email;varchar(255);SI;email;https://id.janis.in/api/user;Completa;Campo único para matcheo. También disponible en /user/{id};;;;;;;;;;;;;;;;;;
admins;username;varchar(255);SI;N/A;https://id.janis.in/api/user/{id};Parcial;BRECHA CRÍTICA - No existe en API. Preguntar a Janis por alternativa.;Se concatena firstName y lastName;;;;;;;;;;;;;;;;;
