Tabla	Campo	Var Type	Utilizado	Campo en Json	Mapeo api endpoint	frecuencia
wms_order_items	id	bigint unsigned	SI	items[].id	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	order_id	bigint	SI	id (orden padre)	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	substitute_of	bigint unsigned	SI	items[].pickingResult[].substituteOf	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	sku	bigint unsigned	SI	items[].skuId	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	product	bigint unsigned	SI	items[].commerceProductId	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	ref_id	varchar(50)	SI	items[].refId	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	name	varchar(100)	SI	items[].name	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	list_price	float(12,2) unsigned	SI	items[].purchasedListPrice	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	price	float(12,2) unsigned	SI	items[].purchasedPrice	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	selling_price	decimal(15,5) unsigned	SI	pickingResult[].price	https://oms.janis.in/api/order/	5 min
wms_order_items	selling_price_original	decimal(15,5) unsigned	SI	items[].purchasedPrice	https://oms.janis.in/api/order/	5 min
wms_order_items	quantity	smallint unsigned	SI	items[].purchasedQuantity	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	quantity_picked	smallint unsigned	SI	items[].pickingResult[].quantity	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	quantity_invoiced	smallint unsigned	SI	items[].invoicedQuantity	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	quantity_returned	smallint unsigned	SI	items[].returnedQuantity	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	substitute_type	tinyint unsigned	SI	items[].pickingResult[].type	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	measurement_unit	varchar(5)	SI	items[].sellingMeasurementUnit	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_items	unit_multiplier	float(7,5) unsigned	SI	items[].sellingUnitMultiplier	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	id	bigint unsigned	SI	items.measurementUnit: kg // ProductGroup name:weightables	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	order_id	bigint unsigned	SI	id (orden padre)	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	order_item	bigint unsigned	SI	items[].id	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	weight	int unsigned	SI	items[].dimensions.weight	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	weight_picked	decimal(15,3)	SI	items[].pickingResult.weight	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	price	decimal(15,5) unsigned	SI	items[].purchasedPrice	https://oms.janis.in/api/order/{id}	5 min
wms_order_item_weighables	quantity	smallint	SI	items[].pickingResult.quantity	https://oms.janis.in/api/order/{id}	5 min
wms_order_status_changes	order_id	bigint unsigned	SI	id	https://oms.janis.in/api/order/{id}	5 min
wms_order_status_changes	extra	text	SI	customData	https://oms.janis.in/api/order/{id}/history	5 min
wms_order_status_changes	old_status	int	SI	notifyOrderChangeStatus	https://oms.janis.in/api/order/{id}/	5 min
wms_order_status_changes	new_status	int	SI	name	https://oms.janis.in/api/order/{id}/history	5 min
wms_order_status_changes	user_created	bigint	SI	userCreated	https://oms.janis.in/api/order/{id}/history	5 min
wms_order_status_changes	date_created	bigint	SI	dateCreated	https://oms.janis.in/api/order/{id}/history	5 min
wms_stores	id	bigint	SI	id	https://commerce.janis.in/api/stores	24 horas
wms_stores	title	varchar(255)	SI	title	https://commerce.janis.in/api/stores	24 horas
wms_stores	name	varchar(255)	SI	name	https://commerce.janis.in/api/stores	24 horas
wms_stores	ref_id	varchar(10)	SI	refId	https://commerce.janis.in/api/stores	24 horas
wms_stores	erp_id	varchar(50)	SI	erpId	https://commerce.janis.in/api/stores	24 horas
wms_stores	code	varchar(50)	SI	code	https://commerce.janis.in/api/stores	24 horas
wms_stores	sales_channel	int unsigned	SI	salesChannel	https://commerce.janis.in/api/stores	24 horas
wms_stores	ecommerce_account_id	bigint	SI	ecommerceAccountId	https://commerce.janis.in/api/stores	24 horas
wms_stores	country	bigint unsigned	SI	country	https://commerce.janis.in/api/stores	24 horas
wms_stores	street_name	varchar(255)	SI	streetName	https://commerce.janis.in/api/stores	24 horas
wms_stores	street_number	varchar(50)	SI	streetNumber	https://commerce.janis.in/api/stores	24 horas
wms_stores	postal_code	varchar(10)	SI	postalCode	https://commerce.janis.in/api/stores	24 horas
wms_stores	city	varchar(255)	SI	city	https://commerce.janis.in/api/stores	24 horas
wms_stores	state	varchar(255)	SI	state	https://commerce.janis.in/api/stores	24 horas
wms_stores	neighborhood	varchar(255)	SI	neighborhood	https://commerce.janis.in/api/stores	24 horas
wms_stores	lat	decimal(12,9)	SI	lat	https://commerce.janis.in/api/stores	24 horas
wms_stores	lng	decimal(12,9)	SI	lng	https://commerce.janis.in/api/stores	24 horas
wms_stores	phone	varchar(50)	SI	phone	https://commerce.janis.in/api/stores	24 horas
wms_stores	apply_quotation	tinyint(1)	SI	applyQuotation	https://commerce.janis.in/api/stores	24 horas
wms_stores	status	tinyint	SI	status	https://commerce.janis.in/api/stores	24 horas
wms_stores	complement	varchar(255)	SI	complement	https://commerce.janis.in/api/stores	24 horas
wms_stores	date_modified	bigint	SI	dateModified	https://commerce.janis.in/api/stores	24 horas
wms_stores	date_created	bigint	SI	dateCreated	https://commerce.janis.in/api/stores	24 horas
wms_logistic_delivery_planning	id	bigint unsigned	SI	[].id	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	store	bigint unsigned	SI	[].warehouseIds[]	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	delivery_range	bigint unsigned	SI	[].schedule	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	quantity	smallint unsigned	SI	[].totals.shippingCount	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	dynamic_quota	smallint	SI	N/A	N/A	24 horas
wms_logistic_delivery_planning	quantity_new	int unsigned	SI	totals.new.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	quantity_picking	int unsigned	SI	totals.picking.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	quantity_picked	int unsigned	SI	totals.picked.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	quantity_invoiced	int unsigned	SI	totals.invoiced.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	quantity_shipped	int unsigned	SI	totals.inDeñivery.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	quantity_delivered	int unsigned	SI	totals.delivered.count	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	offset	float(12,2) unsigned	SI	closingTime	https://delivery.janis.in/api/time-slot-order	24 horas
wms_logistic_delivery_planning	offset_start	float(12,2) unsigned	SI	dateStart		24 horas
wms_logistic_delivery_planning	date_start	bigint unsigned	SI	[].schedule.from	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	date_end	bigint unsigned	SI	[].schedule.to	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	edited	tinyint unsigned	SI	N/A		24 horas
wms_logistic_delivery_planning	is_blocked	tinyint(1)	SI	locked.isLocked	https://delivery.janis.in/api/carrier-group-time-slot	24 horas
wms_logistic_delivery_planning	block_origin	smallint unsigned	SI	lock.reason	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_planning	block_date	bigint unsigned	SI	lock.date	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_planning	block_quota	smallint unsigned	SI	capacity.used	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_planning	block_offset	smallint unsigned	SI	capacity	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_planning	status	tinyint unsigned	SI	[].status	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	date_created	bigint	SI	[].dateCreated	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_planning	date_modified	bigint	SI	[].dateModified	https://tms.janis.in/api/route-planning	24 horas
wms_logistic_delivery_ranges	id	bigint unsigned	SI	id	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_ranges	ref_id	varchar(100)	SI	referenceId	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_ranges	carrier	bigint unsigned	SI	carrierId	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_ranges	time_start	char(5)	SI	initialTime	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_ranges	time_end	char(5)	SI	finalTime	https://delivery.janis.in/api/time-slot	24 horas
wms_logistic_delivery_ranges	status	smallint	SI	status	https://delivery.janis.in/api/time-slot	24 horas
wms_order_payments	id	bigint unsigned	SI	payments[].id	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	order_id	bigint unsigned	SI	id (orden padre)	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	tid	varchar(100)	SI	payments[].tid	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	payment_system	varchar(50)	SI	payments[].paymentSystemCommerceId	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	payment_system_name	varchar(100)	SI	payments[].paymentSystemName	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	payment_group	varchar(100)	SI	payments[].paymentGroup	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	cc_bank	varchar(50)	SI	payments[].acquirer	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	cc_brand	varchar(50)	SI	payments[].paymentSystemName	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	cc_type	varchar(50)	SI	payments[].paymentGroup	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	auth_id	varchar(255)	SI	payments[].authorizationId	GET https://oms.janis.in/api/order/{id}	5 min
wms_order_payments	authorization_code	varchar(100)	SI	N/A	N/A	
wms_order_payments_connector_responses	payment_id	bigint unsigned	SI	payments[].id	https://oms.janis.in/api/order	5 min
wms_order_payments_connector_responses	field	varchar(255)	SI	payments[].connectorResponses.{key}	https://oms.janis.in/api/order	5 min
wms_order_payments_connector_responses	value	text	SI	payments[].connectorResponses.{value}	https://oms.janis.in/api/order	5 min
wms_order_custom_data_fields	order_id	bigint unsigned	SI	id	https://oms.janis.in/api/order	5 min
wms_order_custom_data_fields	app_id	varchar(100)	SI	customData.{appId}	https://oms.janis.in/api/order	5 min
wms_order_custom_data_fields	field	varchar(100)	SI	customData.{appId}.{field}	https://oms.janis.in/api/order	5 min
wms_order_custom_data_fields	value	text	SI	customData.{appId}.{field}.value	https://oms.janis.in/api/order	5 min
products	id	bigint unsigned	SI	id	https://catalog.janis.in/api/product	1 hora
products	ref_id	varchar(100)	SI	referenceId	https://catalog.janis.in/api/product	1 hora
products	vtex_id	bigint unsigned	SI	commerceId	https://catalog.janis.in/api/product	1 hora
products	ref_code	varchar(100)	SI	code	https://catalog.janis.in/api/product	1 hora
products	name	varchar(150)	SI	name	https://catalog.janis.in/api/product	1 hora
products	alt_name	varchar(150)	SI	title	https://catalog.janis.in/api/product	1 hora
products	erp_category	bigint unsigned	SI	N/A	https://catalog.janis.in/api/product	1 hora
products	category	bigint unsigned	SI	categoryId	https://catalog.janis.in/api/product	1 hora
products	erp_brand	bigint unsigned	SI	N/A	https://catalog.janis.in/api/product	1 hora
products	brand	bigint unsigned	SI	brandId	https://catalog.janis.in/api/product	1 hora
products	supplier	bigint unsigned	SI	N/A	https://catalog.janis.in/api/product	1 hora
products	description	text	SI	description	https://catalog.janis.in/api/product	1 hora
products	description_short	varchar(255)	SI	shortDescription	https://catalog.janis.in/api/product	1 hora
products	infinite_stock	tinyint(1)	SI	hasInfiniteStock	https://catalog.janis.in/api/product	1 hora
products	sales_channels	varchar(255)	SI	salesChannels	https://catalog.janis.in/api/product	1 hora
products	cart_limit	int unsigned	SI	N/A	https://catalog.janis.in/api/product	1 hora
products	min_stock	int	SI	N/A	https://catalog.janis.in/api/product	1 hora
products	status	bigint	SI	status	https://catalog.janis.in/api/product	1 hora
